us	-0.06577984988689423	-0.1620154231786728	
nan	0.1780623197555542	0.6141929626464844	
singapur	-0.7460936307907104	-0.28820863366127014	
japan	0.6948086023330688	0.14748282730579376	
england	0.44881749153137207	0.1907634735107422	
switzerland	0.20515809953212738	0.21734142303466797	
south korea	-0.16066959500312805	0.1481306552886963	
china	-0.008986309170722961	0.3673604428768158	
germany	0.1688210517168045	-0.18576321005821228	
country	-0.831967294216156	0.13517268002033234	
russia	0.7083425521850586	-0.07568876445293427	
