project leader	-0.7536516785621643	-0.4401448965072632	
job	1.05492103099823	0.5747177004814148	
software programmer	-1.5732359886169434	-0.975033164024353	
senior manager	-0.8630924224853516	-0.5069579482078552	
hardware engineer	-1.4289723634719849	-0.8695493936538696	
security specialist	-1.2108674049377441	-0.46436285972595215	
database administrator	-1.2012476921081543	-0.665087103843689	
junior sofware developer	-1.3735113143920898	-0.7099928855895996	
analyst	-1.1249334812164307	-0.6866779327392578	
network architect	-0.7991170883178711	-0.46434885263442993	
chief technical officer	0.9537361860275269	0.627354085445404	
senior engineer	-0.9458129405975342	-0.5456362962722778	
information technology director	0.9186878800392151	0.625859260559082	
chief information officer	0.915977954864502	0.6674625873565674	
web designer	-1.1145298480987549	-0.5152636170387268	
ceo	1.1186566352844238	0.34642285108566284	
director	2.9924252033233643	1.8899202346801758	
mis director	1.947974443435669	1.204097032546997	
web master	-1.2611734867095947	-0.675865650177002	
senior database administrator	-0.8591755628585815	-0.5068244934082031	
programmer	-1.164739727973938	-0.6155922412872314	
network engineer	-1.1663188934326172	-0.5726302266120911	
cio	1.168096661567688	0.3665686845779419	
web developer	-1.5860989093780518	-0.7047771215438843	
team leader	-0.7888889312744141	-0.4597831666469574	
junior engineer	-1.221362590789795	-0.6675681471824646	
information technology manager	-0.7736879587173462	-0.4481901526451111	
